from_id,to_id,relationship_type
1,1,TREATED_BY
1,2,TREATED_BY
1,3,TREATED_BY
2,4,TREATED_BY
2,5,TREATED_BY
2,6,TREATED_BY
3,7,TREATED_BY
3,8,TREATED_BY
3,9,TREATED_BY
4,10,TREATED_BY
4,11,TREATED_BY
4,12,TREATED_BY
4,13,TREATED_BY
4,14,TREATED_BY
4,15,TREATED_BY
4,16,TREATED_BY
4,17,TREATED_BY
5,18,TREATED_BY
5,19,TREATED_BY
5,20,TREATED_BY
5,21,TREATED_BY
6,22,TREATED_BY
6,18,TREATED_BY
6,19,TREATED_BY
6,20,TREATED_BY
6,21,TREATED_BY
7,18,TREATED_BY
7,19,TREATED_BY
7,20,TREATED_BY
7,21,TREATED_BY
8,23,TREATED_BY
8,24,TREATED_BY
8,25,TREATED_BY
9,26,TREATED_BY
9,27,TREATED_BY
9,28,TREATED_BY
10,29,TREATED_BY
10,30,TREATED_BY
10,26,TREATED_BY
10,31,TREATED_BY
10,32,TREATED_BY
11,33,TREATED_BY
11,34,TREATED_BY
11,35,TREATED_BY
11,36,TREATED_BY
11,37,TREATED_BY
12,38,TREATED_BY
12,39,TREATED_BY
13,40,TREATED_BY
13,22,TREATED_BY
13,41,TREATED_BY
14,27,TREATED_BY
14,42,TREATED_BY
15,43,TREATED_BY
16,43,TREATED_BY
17,27,TREATED_BY
17,42,TREATED_BY
18,27,TREATED_BY
18,42,TREATED_BY
19,44,TREATED_BY
19,45,TREATED_BY
20,46,TREATED_BY
20,47,TREATED_BY
20,31,TREATED_BY
20,27,TREATED_BY
21,30,TREATED_BY
21,48,TREATED_BY
21,49,TREATED_BY
21,50,TREATED_BY
22,51,TREATED_BY
22,48,TREATED_BY
22,50,TREATED_BY
23,51,TREATED_BY
23,48,TREATED_BY
23,50,TREATED_BY
24,51,TREATED_BY
24,48,TREATED_BY
24,50,TREATED_BY
25,51,TREATED_BY
25,48,TREATED_BY
25,50,TREATED_BY
26,52,TREATED_BY
26,53,TREATED_BY
26,54,TREATED_BY
26,55,TREATED_BY
27,56,TREATED_BY
27,57,TREATED_BY
27,58,TREATED_BY
28,44,TREATED_BY
28,45,TREATED_BY
29,29,TREATED_BY
29,58,TREATED_BY
30,59,TREATED_BY
30,60,TREATED_BY
30,61,TREATED_BY
30,62,TREATED_BY
30,63,TREATED_BY
31,64,TREATED_BY
31,65,TREATED_BY
31,66,TREATED_BY
31,67,TREATED_BY
31,68,TREATED_BY
31,69,TREATED_BY
31,68,TREATED_BY
31,70,TREATED_BY
31,71,TREATED_BY
31,72,TREATED_BY
31,73,TREATED_BY
32,74,TREATED_BY
32,75,TREATED_BY
32,76,TREATED_BY
32,67,TREATED_BY
32,77,TREATED_BY
32,78,TREATED_BY
32,71,TREATED_BY
32,72,TREATED_BY
32,73,TREATED_BY
33,64,TREATED_BY
33,65,TREATED_BY
33,66,TREATED_BY
33,67,TREATED_BY
33,68,TREATED_BY
33,69,TREATED_BY
33,68,TREATED_BY
33,70,TREATED_BY
33,71,TREATED_BY
33,72,TREATED_BY
33,73,TREATED_BY
34,79,TREATED_BY
34,80,TREATED_BY
34,81,TREATED_BY
34,82,TREATED_BY
35,83,TREATED_BY
35,84,TREATED_BY
35,27,TREATED_BY
35,85,TREATED_BY
35,86,TREATED_BY
35,87,TREATED_BY
36,64,TREATED_BY
36,65,TREATED_BY
36,66,TREATED_BY
36,67,TREATED_BY
36,68,TREATED_BY
36,70,TREATED_BY
36,71,TREATED_BY
36,72,TREATED_BY
36,73,TREATED_BY
37,64,TREATED_BY
37,65,TREATED_BY
37,66,TREATED_BY
37,67,TREATED_BY
37,68,TREATED_BY
37,70,TREATED_BY
37,71,TREATED_BY
37,72,TREATED_BY
37,73,TREATED_BY
38,88,TREATED_BY
38,89,TREATED_BY
39,64,TREATED_BY
39,65,TREATED_BY
39,66,TREATED_BY
39,67,TREATED_BY
39,68,TREATED_BY
39,69,TREATED_BY
39,68,TREATED_BY
39,70,TREATED_BY
39,71,TREATED_BY
39,72,TREATED_BY
39,73,TREATED_BY
40,90,TREATED_BY
40,91,TREATED_BY
40,92,TREATED_BY
40,93,TREATED_BY
40,94,TREATED_BY
40,95,TREATED_BY
41,96,TREATED_BY
41,91,TREATED_BY
41,93,TREATED_BY
41,95,TREATED_BY
42,97,TREATED_BY
42,91,TREATED_BY
42,93,TREATED_BY
42,95,TREATED_BY
43,91,TREATED_BY
43,92,TREATED_BY
43,90,TREATED_BY
43,98,TREATED_BY
43,99,TREATED_BY
44,100,TREATED_BY
44,91,TREATED_BY
44,90,TREATED_BY
44,101,TREATED_BY
45,102,TREATED_BY
45,103,TREATED_BY
45,104,TREATED_BY
45,105,TREATED_BY
46,106,TREATED_BY
46,107,TREATED_BY
46,108,TREATED_BY
46,109,TREATED_BY
47,110,TREATED_BY
47,111,TREATED_BY
47,112,TREATED_BY
47,113,TREATED_BY
48,114,TREATED_BY
48,115,TREATED_BY
48,116,TREATED_BY
48,25,TREATED_BY
49,117,TREATED_BY
49,118,TREATED_BY
49,119,TREATED_BY
49,120,TREATED_BY
49,121,TREATED_BY
49,122,TREATED_BY
49,123,TREATED_BY
50,124,TREATED_BY
50,125,TREATED_BY
50,47,TREATED_BY
50,126,TREATED_BY
50,127,TREATED_BY
51,128,TREATED_BY
51,129,TREATED_BY
51,130,TREATED_BY
51,46,TREATED_BY
51,131,TREATED_BY
51,132,TREATED_BY
51,133,TREATED_BY
51,3,TREATED_BY
51,134,TREATED_BY
52,135,TREATED_BY
52,136,TREATED_BY
52,137,TREATED_BY
52,138,TREATED_BY
52,131,TREATED_BY
52,139,TREATED_BY
52,140,TREATED_BY
52,141,TREATED_BY
52,142,TREATED_BY
52,143,TREATED_BY
53,128,TREATED_BY
53,144,TREATED_BY
53,130,TREATED_BY
53,46,TREATED_BY
53,145,TREATED_BY
53,146,TREATED_BY
53,99,TREATED_BY
53,147,TREATED_BY
53,148,TREATED_BY
53,149,TREATED_BY
53,132,TREATED_BY
54,46,TREATED_BY
54,150,TREATED_BY
54,151,TREATED_BY
54,128,TREATED_BY
54,152,TREATED_BY
54,3,TREATED_BY
54,153,TREATED_BY
54,154,TREATED_BY
54,155,TREATED_BY
54,156,TREATED_BY
55,157,TREATED_BY
55,53,TREATED_BY
55,158,TREATED_BY
55,159,TREATED_BY
55,153,TREATED_BY
55,160,TREATED_BY
55,3,TREATED_BY
55,111,TREATED_BY
55,131,TREATED_BY
55,161,TREATED_BY
55,36,TREATED_BY
55,162,TREATED_BY
55,163,TREATED_BY
56,164,TREATED_BY
56,165,TREATED_BY
56,166,TREATED_BY
56,161,TREATED_BY
56,146,TREATED_BY
56,46,TREATED_BY
56,99,TREATED_BY
56,167,TREATED_BY
56,163,TREATED_BY
56,131,TREATED_BY
56,3,TREATED_BY
57,168,TREATED_BY
57,169,TREATED_BY
57,170,TREATED_BY
57,171,TREATED_BY
57,172,TREATED_BY
58,173,TREATED_BY
58,174,TREATED_BY
58,175,TREATED_BY
58,176,TREATED_BY
58,172,TREATED_BY
59,173,TREATED_BY
59,174,TREATED_BY
59,175,TREATED_BY
59,176,TREATED_BY
59,172,TREATED_BY
60,177,TREATED_BY
60,178,TREATED_BY
60,179,TREATED_BY
60,180,TREATED_BY
60,181,TREATED_BY
60,182,TREATED_BY
61,183,TREATED_BY
61,184,TREATED_BY
61,142,TREATED_BY
61,31,TREATED_BY
61,185,TREATED_BY
62,186,TREATED_BY
62,187,TREATED_BY
62,188,TREATED_BY
62,189,TREATED_BY
63,190,TREATED_BY
63,191,TREATED_BY
63,192,TREATED_BY
63,193,TREATED_BY
64,194,TREATED_BY
64,195,TREATED_BY
64,156,TREATED_BY
64,196,TREATED_BY
64,197,TREATED_BY
64,46,TREATED_BY
65,198,TREATED_BY
65,199,TREATED_BY
65,30,TREATED_BY
65,200,TREATED_BY
65,201,TREATED_BY
66,177,TREATED_BY
66,202,TREATED_BY
66,203,TREATED_BY
66,204,TREATED_BY
66,205,TREATED_BY
67,206,TREATED_BY
67,207,TREATED_BY
67,208,TREATED_BY
67,209,TREATED_BY
67,210,TREATED_BY
68,31,TREATED_BY
68,211,TREATED_BY
68,212,TREATED_BY
68,196,TREATED_BY
68,213,TREATED_BY
68,214,TREATED_BY
69,215,TREATED_BY
69,216,TREATED_BY
69,170,TREATED_BY
69,217,TREATED_BY
69,218,TREATED_BY
70,219,TREATED_BY
70,220,TREATED_BY
70,221,TREATED_BY
70,222,TREATED_BY
70,223,TREATED_BY
70,224,TREATED_BY
72,27,TREATED_BY
72,42,TREATED_BY
72,225,TREATED_BY
72,226,TREATED_BY
72,227,TREATED_BY
72,228,TREATED_BY
72,229,TREATED_BY
72,230,TREATED_BY
