id,name,type
1,Panic Disorder,DISEASE
2,Vocal Cord Polyp,DISEASE
3,Turner Syndrome,DISEASE
4,Cryptorchidism,DISEASE
5,Ethylene Glycol Poisoning-1,DISEASE
6,Ethylene Glycol Poisoning-2,DISEASE
7,Ethylene Glycol Poisoning-3,DISEASE
8,Atrophic Vaginitis,DISEASE
9,Fracture,DISEASE
10,Cellulitis,DISEASE
11,Eye Alignment Disorder,DISEASE
12,Headache After Lumbar Puncture,DISEASE
13,Pyloric Stenosis,DISEASE
14,Adenoid Cystic Carcinoma,DISEASE
15,Pleomorphic Adenoma,DISEASE
16,Warthin Tumor,DISEASE
17,Mucoepidermoid Carcinoma,DISEASE
18,Acinic Cell Carcinoma,DISEASE
19,Mucocele,DISEASE
20,Osteochondrosis,DISEASE
21,Sialolithiasis,DISEASE
22,Submandibular Stones,DISEASE
23,Parotid Stones,DISEASE
24,Recurrent Salivary Stones,DISEASE
25,Wharton'S Duct Stones,DISEASE
26,Mumps,DISEASE
27,Ludwig'S Angina,DISEASE
28,Mucocele,DISEASE
29,Abscess,DISEASE
30,Sjögren'S Syndrome,DISEASE
31,Open-Angle Glaucoma,DISEASE
32,Angle-Closure Glaucoma,DISEASE
33,Normal-Tension Glaucoma,DISEASE
34,Congenital Glaucoma,DISEASE
35,Secondary Glaucoma,DISEASE
36,Pigmentary Glaucoma,DISEASE
37,Exfoliation Glaucoma,DISEASE
38,Ocular Hypertension,DISEASE
39,Low-Tension Glaucoma,DISEASE
40,Anorexia Nervosa,DISEASE
41,Bulimia Nervosa,DISEASE
42,Binge Eating Disorder,DISEASE
43,Avoidant/Restrictive Food Intake Disorder (Arfid),DISEASE
44,Other Specified Feeding Or Eating Disorder (Osfed),DISEASE
45,Orthorexia Nervosa,DISEASE
46,Pica,DISEASE
47,Rumination Disorder,DISEASE
48,Transient Ischemic Attack,DISEASE
49,Pyelonephritis,DISEASE
50,Rotator Cuff Injury,DISEASE
51,Fibromyalgia,DISEASE
52,Chronic Fatigue Syndrome,DISEASE
53,Complex Regional Pain Syndrome (Crps),DISEASE
54,Myofascial Pain Syndrome,DISEASE
55,Chronic Migraine,DISEASE
56,Neuropathic Pain,DISEASE
57,Gestational Diabetes,DISEASE
58,Pregnancy-Induced Hypertension,DISEASE
59,Gestational Hypertension,DISEASE
60,Preeclampsia,DISEASE
61,Hyperemesis Gravidarum,DISEASE
62,Urinary Tract Infection (Uti),DISEASE
63,Anemia,DISEASE
64,Pregnancy-Related Back Pain,DISEASE
65,Round Ligament Pain,DISEASE
66,Placenta Previa,DISEASE
67,Carpal Tunnel Syndrome,DISEASE
68,Sciatica,DISEASE
69,Varicose Veins,DISEASE
70,Hemorrhoids,DISEASE
71,Gestational Cholestasis,DISEASE
72,Liver Cancer,DISEASE
73,Atelectasis,DISEASE
74,Ectopic Pregnancy,DISEASE
75,Choledocholithiasis,DISEASE
76,Cirrhosis,DISEASE
77,Thoracic Aortic Aneurysm,DISEASE
78,Subdural Hemorrhage,DISEASE
79,Congenital Rubella,DISEASE
80,Diabetic Retinopathy,DISEASE
81,Fibromyalgia,DISEASE
82,Ischemia Of The Bowel,DISEASE
83,Fetal Alcohol Syndrome,DISEASE
84,Peritonitis,DISEASE
85,Abdominal Injury,DISEASE
86,Acute Pancreatitis,DISEASE
87,Thrombophlebitis,DISEASE
88,Asthma,DISEASE
89,Restless Leg Syndrome,DISEASE
90,Emphysema,DISEASE
91,Induced Abortion,DISEASE
92,Acute Sinusitis,DISEASE
93,Von Hippel-Lindau Disease,DISEASE
94,Alcohol Use Disorder,DISEASE
95,Opioid Use Disorder,DISEASE
96,Stimulant Use Disorder,DISEASE
97,Cannabis Use Disorder,DISEASE
98,Benzodiazepine Use Disorder,DISEASE
99,Hallucinogen Use Disorder,DISEASE
100,"Sedative, Hypnotic, Or Anxiolytic Use Disorder",DISEASE
101,Postpartum Depression,DISEASE
102,Coronary Atherosclerosis,DISEASE
103,Spondylitis,DISEASE
104,Pituitary Adenoma,DISEASE
105,Uterine Fibroids,DISEASE
106,Idiopathic Nonmenstrual Bleeding,DISEASE
107,Chalazion,DISEASE
108,Ovarian Torsion,DISEASE
109,Vaginal Yeast Infection,DISEASE
110,Mastoiditis,DISEASE
111,Lung Contusion,DISEASE
112,Hypertrophic Obstructive Cardiomyopathy (Hocm),DISEASE
113,Pulmonary Eosinophilia,DISEASE
114,Corneal Disorder,DISEASE
115,Foreign Body In The Gastrointestinal Tract,DISEASE
116,Endophthalmitis,DISEASE
117,Achalasia,DISEASE
118,Conductive Hearing Loss,DISEASE
119,Abdominal Hernia,DISEASE
120,Marijuana Abuse,DISEASE
121,Cryptococcosis,DISEASE
122,Obesity,DISEASE
123,Indigestion,DISEASE
124,Bursitis,DISEASE
125,Esophageal Cancer,DISEASE
126,Pulmonary Congestion,DISEASE
127,Juvenile Rheumatoid Arthritis,DISEASE
128,Actinic Keratosis,DISEASE
129,Acute Otitis Media,DISEASE
130,Astigmatism,DISEASE
131,Tuberous Sclerosis,DISEASE
132,Empyema,DISEASE
133,Presbycusis,DISEASE
134,Neonatal Jaundice,DISEASE
135,Dislocation Of The Elbow,DISEASE
136,Spondylosis,DISEASE
137,Herpangina,DISEASE
138,Poisoning Due To Antidepressants,DISEASE
139,Infection Of Open Wound,DISEASE
140,Protein Deficiency,DISEASE
141,Myoclonus,DISEASE
142,Bone Spur Of The Calcaneus,DISEASE
143,Von Willebrand Disease,DISEASE
144,Heart Block,DISEASE
145,Colonic Polyp,DISEASE
146,Hypospadias,DISEASE
147,Magnesium Deficiency,DISEASE
148,Female Infertility Of Unknown Cause,DISEASE
149,Pericarditis,DISEASE
150,Attention Deficit Hyperactivity Disorder (Adhd),DISEASE
151,Neuromyelitis Optica,DISEASE
152,Pulmonic Valve Disease,DISEASE
153,Tietze Syndrome,DISEASE
154,Cranial Nerve Palsy,DISEASE
155,Conversion Disorder,DISEASE
156,Complex Regional Pain Syndrome,DISEASE
157,Otosclerosis,DISEASE
158,Hypothyroidism,DISEASE
159,Primary Insomnia,DISEASE
160,Lice,DISEASE
161,Vitamin B12 Deficiency,DISEASE
162,Vulvodynia,DISEASE
163,Endometriosis,DISEASE
164,Vasculitis,DISEASE
165,Concussion,DISEASE
166,Oral Leukoplakia,DISEASE
167,Chronic Kidney Disease,DISEASE
168,Bladder Disorder,DISEASE
169,Chorioretinitis,DISEASE
170,Priapism,DISEASE
171,Myositis,DISEASE
172,Mononucleosis,DISEASE
173,Neuralgia,DISEASE
174,Polycystic Kidney Disease,DISEASE
175,Bipolar Disorder,DISEASE
176,Amyloidosis,DISEASE
177,Chronic Inflammatory Demyelinating Polyneuropathy (Cidp),DISEASE
178,Gastroesophageal Reflux Disease (Gerd),DISEASE
179,Vitreous Hemorrhage,DISEASE
180,Antimicrobial Drugs Poisoning,DISEASE
181,Scleroderma,DISEASE
182,Myasthenia Gravis,DISEASE
183,Hypoglycemia,DISEASE
184,Idiopathic Absence Of Menstruation,DISEASE
185,Dislocation Of The Ankle,DISEASE
186,Carbon Monoxide Poisoning,DISEASE
187,Panic Attack,DISEASE
188,Plantar Fasciitis,DISEASE
189,Hyperopia,DISEASE
190,Sedatives Poisoning,DISEASE
191,Pemphigus,DISEASE
192,Peyronie Disease,DISEASE
193,Hiatal Hernia,DISEASE
194,Extrapyramidal Effect Of Drugs,DISEASE
195,Meniere Disease,DISEASE
196,Anal Fissure,DISEASE
197,Chronic Otitis Media,DISEASE
198,Hirschsprung Disease,DISEASE
199,Polymyalgia Rheumatica,DISEASE
200,Lymphedema,DISEASE
201,Bladder Cancer,DISEASE
202,Acute Bronchospasm,DISEASE
203,Acute Glaucoma,DISEASE
204,Dislocation Of The Patella,DISEASE
