id,name,type
1,Palpitations,SYMPTOM
2,Sweating,SYMPTOM
3,Trembling,SYMPTOM
4,Shortness Of Breath,SYMPTOM
5,Fear Of Losing Control,SYMPTOM
6,Dizziness,SYMPTOM
7,Hoarseness,SYMPTOM
8,Vocal Changes,SYMPTOM
9,Vocal Fatigue,SYMPTOM
10,Short Stature,SYMPTOM
11,Gonadal Dysgenesis,SYMPTOM
12,Webbed Neck,SYMPTOM
13,Lymphedema,SYMPTOM
14,Absence Or Undescended Testicle(S),SYMPTOM
15,Empty Scrotum,SYMPTOM
16,Smaller Or Underdeveloped Testicle(S),SYMPTOM
17,Inguinal Hernia,SYMPTOM
18,Abnormal Positioning Of The Testicle(S) (Higher In The Groin Area),SYMPTOM
19,Nausea,SYMPTOM
20,Vomiting,SYMPTOM
21,Abdominal Pain,SYMPTOM
22,General Malaise,SYMPTOM
23,Weakness,SYMPTOM
24,Increased Thirst,SYMPTOM
25,Frequent Urination,SYMPTOM
26,Metabolic Acidosis,SYMPTOM
27,Apid Breathing,SYMPTOM
28,Rapid Heart Rate,SYMPTOM
29,Confusion,SYMPTOM
30,Headache,SYMPTOM
31,Seizures,SYMPTOM
32,Decreased Urine Output,SYMPTOM
33,Swelling In The Legs And Ankles,SYMPTOM
34,And Signs Of Fluid Overload,SYMPTOM
35,Severe Kidney Damage,SYMPTOM
36,Vaginal Dryness,SYMPTOM
37,Vaginal Burning,SYMPTOM
38,Urinary Tract Infections,SYMPTOM
39,Painful Intercourse,SYMPTOM
40,Pain,SYMPTOM
41,Swelling,SYMPTOM
42,Bruising,SYMPTOM
43,Deformity,SYMPTOM
44,Difficulty Moving,SYMPTOM
45,Loss Of Function,SYMPTOM
46,Redness,SYMPTOM
47,Tenderness,SYMPTOM
48,Skin Changes,SYMPTOM
49,Lymph Node Enlargement,SYMPTOM
50,Double Vision,SYMPTOM
51,Eye Fatigue,SYMPTOM
52,Poor Depth Perception,SYMPTOM
53,Head Tilting,SYMPTOM
54,Throbbing Headache,SYMPTOM
55,Persistent Hunger,SYMPTOM
56,Weight Loss,SYMPTOM
57,Dehydration,SYMPTOM
