id,name,type
1,Antidepressant Medications,TREATMENT
2,Cognitive Behavioral Therapy,TREATMENT
3,Relaxation Techniques,TREATMENT
4,Voice Rest,TREATMENT
5,Speech Therapy,TREATMENT
6,Surgical Removal,TREATMENT
7,Growth Hormone Therapy,TREATMENT
8,Estrogen Replacement Therapy,TREATMENT
9,Cardiac And Renal Evaluations,TREATMENT
10,Observation And Monitoring (In Cases Of Mild Or Transient Cryptorchidism),TREATMENT
11,Hormone Therapy (To Stimulate Testicular Descent),TREATMENT
12,Surgical Intervention (Orchiopexy) To Reposition The Testicle(S) Into The Scrotum,TREATMENT
13,If Necessary,TREATMENT
14,Performed Around The Age Of 6 To 12 Months,TREATMENT
15,Open Or Laparoscopic Surgery (In Cases Of High Or Persistent Cryptorchidism),TREATMENT
16,Testicular Prostheses (In Cases Of Absent Or Non-Functional Testicles),TREATMENT
17,Regular Follow-Up Visits With A Urologist Or Pediatric Surgeon,TREATMENT
18,Supportive Measures,TREATMENT
19,Gastric Decontamination,TREATMENT
20,Antidote Administration,TREATMENT
21,Hemodialysis,TREATMENT
22,Blood Tests,TREATMENT
23,Vaginal Moisturizers,TREATMENT
24,Vaginal Estrogen Therapy,TREATMENT
25,Lifestyle Modifications,TREATMENT
26,Immobilization,TREATMENT
27,Surgery,TREATMENT
28,Rehabilitation,TREATMENT
29,Antibiotics,TREATMENT
30,Warm Compresses,TREATMENT
31,Rest,TREATMENT
32,Pain Management,TREATMENT
33,Glasses,TREATMENT
34,Patching Therapy,TREATMENT
35,Vision Therapy,TREATMENT
36,Botox Injections,TREATMENT
37,Surgical Intervention,TREATMENT
38,Epidural Blood Patch,TREATMENT
39,Conservative Measures,TREATMENT
40,Ultrasound,TREATMENT
41,Pyloromyotomy,TREATMENT
42,Radiation Therapy,TREATMENT
43,Surgical Excision,TREATMENT
44,Observation,TREATMENT
45,Surgical Removal If Necessary,TREATMENT
46,Physical Therapy,TREATMENT
47,Pain Medications,TREATMENT
48,Saliva Stimulation,TREATMENT
49,Sialagogues,TREATMENT
50,Stone Removal,TREATMENT
51,Hydration,TREATMENT
52,Supportive Care,TREATMENT
53,Pain Relievers,TREATMENT
54,Isolation,TREATMENT
55,Vaccination (Mmr),TREATMENT
56,Intravenous Antibiotics,TREATMENT
57,Airway Management,TREATMENT
58,Surgical Drainage,TREATMENT
59,Symptomatic Relief With Artificial Tears,TREATMENT
60,Saliva Substitutes,TREATMENT
61,Frequent Sips Of Water,TREATMENT
62,Medications To Stimulate Saliva Production,TREATMENT
63,Immune-Modulating Drugs,TREATMENT
64,Eye Drops To Lower Intraocular Pressure (E.G.,TREATMENT
65,Prostaglandin Analogs,TREATMENT
66,Beta Blockers,TREATMENT
67,Alpha Agonists,TREATMENT
68,Carbonic Anhydrase Inhibitors),TREATMENT
69,Oral Medications (E.G.,TREATMENT
70,Laser Trabeculoplasty,TREATMENT
71,Surgical Procedures (E.G.,TREATMENT
72,Trabeculectomy,TREATMENT
73,Glaucoma Drainage Implants),TREATMENT
74,Medications (E.G.,TREATMENT
75,Oral Or Intravenous Acetazolamide,TREATMENT
76,Topical Beta Blockers,TREATMENT
77,Prostaglandin Analogs),TREATMENT
78,Laser Peripheral Iridotomy,TREATMENT
79,Surgery (E.G.,TREATMENT
80,Trabeculotomy,TREATMENT
81,Goniotomy) To Create A New Drainage Pathway,TREATMENT
82,Medications To Reduce Intraocular Pressure,TREATMENT
